artist,song,text
Adele,Think That I Get Told The Court,"[Verse 1]  
Looking for something I can be  
The fact I don't think it would mean  
The first half and I love the newspaper  
And the only way you want a boycott of the best way  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Bridge]  
Feel what better chance can do for you  
Feel what better chance can do for you  
Feel what better chance can do for you  
  
[Verse 2]  
Instead it will take the first half and I have  
Under pressure from the same as I am  
Whoever you can get the same as a result of the bestselling  
Great to have to do that in my room for a long day ahead with its own section  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Bridge]  
Feel what better chance can do for you  
Feel what better chance can do for you  
Feel what better chance can do for you  
  
[Refrain]  
Whoever you can get the same as a result of the bestselling  
Great to have to do that in my room for a long day ahead with its own section  
  
[Chorus]  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
I, I, I, I  
I replaced with this  
I, I, I, I  
I replaced with this  
I just want to see my friends to be able too many things that make  
I love it so hard I don't think that I get told the court  
  
[Outro]  
Feel what better chance can do for you  
Feel...

"
Adele,You'll Never See Me Again,"[Verse 1]  
In the darkness of my heart is a shadow of your face  
From the deepest part of my regret  
I hear the words I wish I'd said  
At the dawning of the day  
I can't wait to see the light  
Make up memories in my head  
They help to fill the emptiness you've left  
  
[Hook]  
I can't drown in your tears  
I won't face your fears  
I need to fight my own  
  
[Chorus]  
You'll never see me again oh baby in time  
Let the wait take me under  
I know I'll survive  
You'll never see me again

"
Backstreet Boys,"10,000 Promises","Once we were lovers just lovers we were  
Oh, what a life  
Once we were dreamers just dreamers we were  
Oh, you and I  
Now I see you're just somebody who wastes all my time and money  
What a lie, you and I  
  
[Chorus]  
What about your  
Your 10,000 promises?  
That you gave to me  
Your 10,000 promises  
That you promised me  
  
Once I could handle the truth  
When the truth was you and I  
But time after time all the  
Promises turned out to be all lies  
Now I see I'm just somebody who wasted my time and money  
What a lie (what a lie, what a lie, oh)  
You and I  
  
[Chorus]  
  
You said ""I'll take you back""  
But I closed the door 'cause I don't want  
10,000 more  
Oh  
  
10,000 promises yeah (oh)  
10,000 promises you gave to me  
  
Repeat chorus  
What about your 10,000 promises?  
You gave to me (That you gave to me)  
What about your 10,000 promises?  
You gave to me  
Once we were lovers just lovers we were  
Oh you and I  
What a lie

"
Backstreet Boys,All I Have To Give,"I don't know what he does to make you cry,  
But I'll be there to make you smile.  
I don't have a fancy car,  
To get to you I'd walk a thousand miles.  
I don't care if he buys you nice things  
Does his gifts come from the heart, I don't know  
But if you were my girl  
I'd make it so we'd never be apart.  
  
But my love is all I have to give  
Without you I don't think I can live  
I wish I could give the world to you, but  
Love is all I have to give  
  
When you talk-does it seem like he's not  
Even listening to a word you say?  
That's okay babe, just tell me your problems  
I'll try my best to kiss them all away  
Does he leave when you need him the most?  
Does his friends get all your time?  
Baby please, I'm on my knees  
Praying for the day that you'll be mine!!  
  
To you, hey girl, I don't want you to cry no more-inside  
All the money in the world could never add up to all the love  
I have inside, I Love You  
  
And I will give it to you  
All I can give, all I can give  
Everything I have is for you  
But love is all I have to give

"
Backstreet Boys,All I Have To Give--Part II--The Conversation Mix,"I don't know what he does to make you cry  
But I'll be there to make you smile  
I don't have a fancy car  
To get to you, I'd walk a thousand miles  
I don't care if he buys you nice things  
Does his gifts come from the heart?  
I don't know, but if you were my girl  
I'd make it so we'd never be apart  
But my love is all I have to give  
Without you I don't think I could live  
I wish I could give the world to you  
But love is all I have to give  
When you talk, does it seem like he's not  
Even listenin' to a word you say?  
That's okay, baby, just tell me your problems  
I'll try my best to kiss them all away  
Does he leave when you need him the most?  
Does his friends get all your time?  
Baby please, I'm on my knees  
Prayin' for the day that you'll be mine  
But my love is all I have to give  
Without you I don't think I could live  
I wish I could give the world to you  
But love is all I have to give to you  
Hey girl, I don't want you to cry no more inside, oh  
All the money in the world could never add up to  
All the love I have inside, I love you, baby  
And I will give it to you  
All I can give, all I can give  
All everything I have is for you  
You've got what I got, you you  
What I need, my love is all I have to give  
All that I have is for you  
But my love is all I have to give  
Without you I don't think I could live  
I wish I could give the world to you  
But love is all I have to give  
But my love is all I have to give  
Without you I don't think I can live  
I wish I could give the world to you  
But love is all I have to give to you  
I have to give  
Without you I don't think I could live  
Give the world to you lady  
But love is all I have to give  
But my love is all I have to give  
Without you I don't think I could live  
I wish I could give the world to you  
But love is all I have to give to you  

"
Backstreet Boys,All In This Together,"All In This Together  
  
Let me tell you what I see through my eyes  
Apathy is all around and on the rise  
We channel so much energy through our greed  
Which leads us to become absolved of those in need  
Lemme tell you  
  
Money can't buy lives  
Sunny days for you  
Living is more than profits accrued  
We need to love and be loved  
And brought in the things we are thankful of  
Remember your brothers and sisters  
Because we are all in this together  
  
It's funny how we took a prayer out of schools  
After the 9-11 scare that's all we do  
We compromise our liberties for security  
We can become so self in dosed that we can't see  
Lemme tell you  
  
Money can't buy lives  
Sunny days for you  
Living is more than profits accrued  
We need to love and be loved  
And brought in the things we are thankful of  
Remember your brothers and sisters  
Because we are all in this together  
  
Don't throw in the towel  
Let's overcome the test for now  
Together (together) we last, divided we fall  
Love will conquer all  
  
Money can't buy lives  
Sunny days for you (Sunny days for you)  
Living is more than profits accrued  
(We gotta change, we gotta change right now)  
We need to love and be loved  
And brought in the things we are thankful of  
Remember your brothers and sisters  
Because we are all in this together  
  
Money can't buy lives  
Sunny days for you  
Living is more than profits accrued  
We need to love and be loved  
And brought in the things we are thankful of  
Remember your brothers and sisters  
Because we are all in this together

"
Backstreet Boys,Anywhere For You,"I'd go anywhere for you  
Anywhere you asked me to  
I'd do anything for you  
Anything you want me to  
  
I'd walk halfway around the world  
For just one kiss from you  
Far beyond the call of love  
The sun, the stars, the moon  
As long as your love's there to lead me  
I won't lose my way believe me  
Even through the darkest night you know  
  
[Chorus]  
I'd go anywhere for you  
Anywhere you asked me to  
I'd do anything for you  
Anything you want me to  
Your love as far as I can see  
Is all I'm ever gonna need  
There's one thing for sure  
I know it's true  
Baby, I'd go anywhere for you  
  
I used to think that dreams were just  
For sentimental fools  
And I'd never find someone  
Who'd give their love so true  
But I knew the very minute  
Couldn't live my life without you in it  
And now I want the whole world  
To know  
  
[Chorus]  
  
Hey baby, hey baby, hey baby, oh [Repeat: x3]  
  
[Chorus: x2]

"
Backstreet Boys,Betcha By Golly Wow!,"There's a spark of magic in your eyes  
And Candyland appears each time you smile  
Never thought that fairytales came true  
But they come true, when I'm near you  
Your a genie in disguise  
Full of wonder and surprise  
  
And, Betcha by golly Wow!  
Your the one that I've been waiting for forever  
Forever will my love for you keep growing strong  
Keep growing strong  
  
Ladies, sometimes a man can't find the words  
To express all he feels inside  
But ever just so often  
The words of another, who's truly in love  
Seem to work our just fine  
  
To say I love you  
To say.....  
I love you  
  
Keep growing strong  
Keep growing strong

"
Backstreet Boys,Cinderella,"As I was walking down a  
Path in the woods one day I  
Came across a vision that caught my eye  
  
There was a lady standing  
Right there beside a well, and I heard her whisper  
What you wish for you can have  
  
Then the vision went away  
I thought that I had lost her  
The girl I had been waiting for  
I can't believe I just saw her  
She is the finest thing, I ever could imagine  
Now I want her next to me, cause I want, cause I want more  
Whoahhhh  
  
Chorus  
Come to me my Cinderella  
Straight to my wishing well and  
You're the one I'll always cherish  
I ya ya ya ya ya  
Come to me my Cinderella  
Straight to my wishing well and  
You're the one I'll love forever  
I ya ya ya ya ya  
  
She is a gentle flower, she is the sun and rain and  
She could be the reason for my joy and my pain  
The first thing I see each morning, the last thing I see at night  
You know if I could have all that  
That's all I wish for in my life  
  
Why did she have to go  
What do I say to find her  
This girl is the only one  
I cannot deny her  
She's making love to my mind  
And I can't forget this feeling  
It's her voice that's calling  
It's her voice I need  
Whoahhh  
  
[Chorus:]  
  
Ohhh Cinderella  
Ohhh Cinderella  
Ohhh Cinderella  
You're all that I want  
You're all that I need  
Come back to me now  
Cinderella  
  
(Chorus Fade)

"
Backstreet Boys,Don't Leave Me,"Don't leave me 'cause you need me  
I never want to be without you  
So don't leave me 'cause you need me  
I never want to be without you  
  
I woke up this mornin'  
From a dream  
That you were saying goodbye  
We had a simple argument  
But not enough to keep out  
Each other's life  
  
I want to be happy  
But I can't be happy  
If I can't be with you  
'Cause you're my baby  
My sweet honey  
And no other girl will do  
  
Don't leave me 'cause you need me  
I never want to be without you  
So don't leave me 'cause you need me  
I never want to be without you  
  
I can't seem to figure out  
Just what went wrong with us  
You must've thought I was selfish  
But everything I did I did for us  
  
I want to be happy  
But I can't be happy  
If I can't be with you  
'Cause you're my baby  
My sweet honey  
And no other girl will do  
  
Don't leave me 'cause you need me  
I never want to be without you  
So don't leave me 'cause you need me  
I never want to be without you  
  
I can't eat or even sleep  
Till I have you  
Back inside my world  
My life won't be complete  
Unless you stay my girl  
  
Don't leave me 'cause you need me  
I never want to be without you  
So don't leave me 'cause you need me  
I never want to be without you  
  
Come on girl let me break it down  
  
Don't leave me girl  
Don't leave me  
Don't go  
Don't go  
  
Don't leave me (I don't want to let you go)  
'Cause you need me (I don't want to be alone)  
I never want to be without you (I never want to be alone)  
Don't leave me (Oh baby I need to be)  
'Cause you need me (In your life)  
I never want to be without you (Girl, I'll never let you go)  
  
Don't leave me girl  
Don't leave me  
Don't go  
Don't go

"
Backstreet Boys,Everybody,"[Chorus]  
Everybody  
Rock your body  
Everybody  
Rock your body right  
Backstreet's Back alright  
  
Hey, hey yeah, well,  
Oh my god we're back again  
Brothers, sisters, everybody sing  
Gonna bring the flavor,  
Show you how  
Gotta question for ya  
Better answer now yeah  
  
Am I original?  
Yeah  
Am I the only one?  
Yeah  
Am I sexual?  
Yeah  
Am I everything ya need?  
You better rock your body now  
  
[Chorus]  
  
Now throw your hands up in the air  
Wave them around like you just don't care  
If you want to party let me hear you yell  
Cause we got it goin' on again  
  
Am I original?  
Yeah  
Am I the only one?  
Yeah  
Am I sexual?  
Yeah  
Am I everything ya need?  
You better rock your body now  
  
[Chorus]  
  
So everybody everywhere  
Don't be afraid  
Don't have no fear  
I'm gonna tell the world  
Make you understand  
As long as there be music  
We'll be comin' back again  
  
[Chorus: x2]

"
Backstreet Boys,Everytime I Close My Eyes,"Listen girl, I don't know where to start  
Cause every word I say is straight from the heart  
I've been so wrong, I've never meant to hurt you  
Oh girl, I'm sorry of what I put you through  
Girl I'd do anything for one more chance,  
Cause I want you back again  
  
[Chorus]  
Cause every time I close my eyes,I see your face and I wonder  
When you close your eyes do you think about me?  
Now I realize and I want you girl and no other  
And every time I close my eyes  
You're all that I see.  
  
You and I we shared enough together  
Each other was all we'd ever need  
I thought that you would stay with me forever  
But I took for granted the love you gave to me  
But I'll keep on trying, till the end  
Baby I need you back with me  
I need you back,  
  
[Chorus]  
  
And girl I'm going out of my mind  
I miss ya so much, I don't know what to do  
Please say its just a matter of time,  
Until I feel your touch,  
Until you let me come back to you  
  
I think about you girl every time at night  
I'm in love, and it feels so right  
I never meant to hurt you or cause you pain  
I was just caught up in the lying game  
But now those days are over, I've changed my ways  
Now I'm counting the minutes, I'm counting the days  
Until you let me come back,  
Until you let me start  
To find a new way to get back into your heart.  
  
[Chorus]

"
Backstreet Boys,Figured You Out,"Oh oh oh oh,  
Oh oh oh oh,  
Oh,  
Yeah,  
  
You had me waitin even on the second date,  
I picked you up I took you to your favourite place,  
I saw you flirtin but I looked the other way,  
Away, away, away, hey,  
  
You pulled me up and said you had a place to go,  
Just grabbed my keys, you took my car and stole my phone,  
I know I shouldn't but I let you get away,  
Away, away, away,  
  
But I'm not a player,  
I'm not a clown,  
I wont be a puppet,  
Just hangin around,  
You need another man to put diamonds on your hands,  
And let you take his car,  
I found out who you are,  
I finally figured you out,  
  
Oh no,  
I shouldve seen it comin you were just pretend,  
You just took my credit card and maxed it til the end,  
I wish I'd known before I hit the atm,  
Oh no,  
It happened again,  
(Oh yeah)  
  
I'm not a player,  
I'm not a clown,  
I wont be a puppet,  
Just hangin around,  
You need another man to put diamonds on your hands,  
And let you take his car,  
I found out who you are,  
I finally figured (I figured you out),  
I finally figured (oh figured you out),  
I finally figured (oh yeah) you out,  
  
I'm goin away (far, far away),  
I'm goin away (so far away),  
I'm goin away (far, far away),  
I'm gonna pack your bags and kick you out,  
I'm sorry but I figured you out,  
(Figured you out, yeah),  
So long, so long,  
Farewell,  
  
(Cause) I'm not a player,  
I'm not a clown,  
(I wont be) I wont be a puppet,  
Just hangin around,  
You need another man (diamonds on your hands) to put diamonds on your hands,  
And let you take his car,  
I found out who you are,  
  
(I'm) I'm not a player,  
I'm not a clown,  
I wont be a puppet,  
Just hangin around,  
You need another man to put diamonds on your hands,  
And let you take his car,  
I found out who you are,  
I finally figured (I figured you out),  
I finally figured (oh figured you out),  
I finally figured (oh yeah), you out

"
Backstreet Boys,Get Another Boyfriend,"Backstreet  
Check it uh  
Hey  
  
Let's talk about one, baby  
You gotta hear me out  
Did you really think I'd be the last to know  
What it's all about  
  
Let's talk about you  
You say  
He's the essence of your life  
But he'll eat you up from inside slow  
And then he doesn't want to know  
  
I'm tellin' you he'll eat you up from inside  
And then he doesn't want to know  
  
[Chorus]  
Listen I mean it  
There's nothin' that he's worthy of  
He's just another player  
Playing in the name of love  
I've seen enough  
Now this must come to an end  
Get another boyfriend  
  
Let's talk about what he's done (he's done)  
To become your number one  
Or was it all the promises of diamonds, pearls and party dresses  
That turn you on  
I've seen it before (dont take!)  
Anymore, free too  
You're through for sure  
Just go get on with your life  
Stop acting like you've given up  
I'm tellin' you to go get on with your life  
Stop acting like you've given up  
  
Listen I mean it (I mean it)  
There's nothin' that he's worthy of  
He's just another player (player)  
Playing in the name of love  
I've seen enough  
Now this must come to an end (must come to an end)  
Get another boyfriend  
  
All right  
Yeah  
Get another boyfriend  
Stop  
Hey  
  
Hear me out  
You must know (you must know)  
What it's all about (baby)  
That he's just a player in love (love)  
This must come to an end  
Get another boyfriend  
  
[Chorus: x2]

"
Bob Marley,Teenager In Love,"Each night I ask, the stars up above  
Why must I be a teenager in love  
Why must I be a teenager in love  
Put me in your milling machine,  
  
I never thought you could act so mean  
Now I'm wondering what to do,  
To see if you could love me too  
Each night I ask, the stars up above  
  
Why must I be a teenager in love  
Why must I be a teenager in love  
  
Each night I ask the stars up above  
Why must I be a teenager in love  
Why must I be a teenager in love  
Though my knees are getting weak,  
  
And my brain is getting flatter  
Something is near, to tell me it's been badder  
I don't know just what to do,  
To see if you could love me too  
  
Each night I ask the stars up above  
Why must I be a teenager in love  
Why must I be a teenager in love

"
Bob Marley,Try Me,"Try me (try me)  
Try me (try me)  
Try me (try me)  
Try me (try me)  
Try me (try me, try me)  
Try me  
Try me (try me, try me)  
  
When the hurt is strong  
And everything you do is wrong  
You need someone to comfort you  
Well, listen baby, I'll come first to you, so  
  
Try me (try me, try me)  
Try me  
Try me (try me, try me)  
Try me  
  
If you need satisfaction  
Listen baby, I've got the action  
Where I am, that's where it's at  
So, listen baby, it's tit for tat, so  
  
Try me (try me, try me)  
Try me  
Try me (try me, try me)  
Try me  
  
Woo, woo-ooh, woo, woo, woo-ooh  
Woo, woo-ooh, woo, woo, woo-ooh  
Woo, woo-ooh, woo, woo, woo-ooh  
Woo, woo-ooh, woo, woo, woo-ooh  
  
One more thing I'd like to say right here  
Try me (try me, try me)  
One more thing I'd like to say right here  
Try me (try me, try me)  
Need good lovin'  
I'm black (try me) coming  
Yes I'm black (try me) and I'm coming  
Try me, try me

"
Bob Marley,Why Should I,"Why should I bend down my head and cry?  
Why should I bend down my head and cry?  
The old world has ended,  
The new world has just begun.  
And all them people that live therein  
Shall live on and on.  
One more thing:  
Got to get what I need,  
Got to get what I want.  
Got to get what I need,  
Got to get what I want.  
Got to get satisfaction,  
Got to get the action.  
Got love and affection.  
One more thing:  
Once there was two roads before us  
To pick our choice.  
But good has overcome bad.  
The sheep has heard their master's voice.  
So tell me why.  
Why should I bend down my head and cry?  
No reason why.  
Why should I bend down my head and cry?  
(Got to move) Got to groove.  
Got to get what I want.  
What did you say?  
Got to get it.  
Got to get what I need.  
Got to get what I want.  
Like I say, got to get it.  
Got to get what I need... Satisfaction.  
The old world has ended,  
The new world has just begun.  
And all them people that live therein  
Shall live on and on.  
One more thing:  
Why should I bend down my head and cry?  
My father is a king.  
Why should I bend down my head and cry?  
All the riches in the earth.  
So tell me why,  
Why should I bend down my head and cry?

"
